2020-04-28 01:04:994 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 01:04:155 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 02:04:306 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 02:04:267 INFO  HomePage :24 - Clicking on bank manager login button [[ChromeDriver: chrome on WINDOWS (388be33ae0805225b9abf6fd552bb23b)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-28 02:04:668 INFO  BankManagerLoginPage :31 - Clicking to add customer [[ChromeDriver: chrome on WINDOWS (388be33ae0805225b9abf6fd552bb23b)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 02:04:718 INFO  AddCustomerPage :28 - Enter first name Hermoine First name field[[ChromeDriver: chrome on WINDOWS (388be33ae0805225b9abf6fd552bb23b)] -> xpath: //input[@placeholder='First Name']]
2020-04-28 02:04:97 INFO  AddCustomerPage :34 - Enter last name GrangerLast name field [[ChromeDriver: chrome on WINDOWS (388be33ae0805225b9abf6fd552bb23b)] -> xpath: //input[@placeholder='Last Name']]
2020-04-28 02:04:367 INFO  AddCustomerPage :40 - Enter post code E859ACPost code field[[ChromeDriver: chrome on WINDOWS (388be33ae0805225b9abf6fd552bb23b)] -> xpath: //input[@placeholder='Post Code']]
2020-04-28 02:04:405 INFO  AddCustomerPage :45 - Clicking on add customer button [[ChromeDriver: chrome on WINDOWS (388be33ae0805225b9abf6fd552bb23b)] -> xpath: //button[@class='btn btn-default']]
2020-04-28 02:04:340 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 02:04:223 INFO  HomePage :24 - Clicking on bank manager login button [[ChromeDriver: chrome on WINDOWS (98aadb8e8344ebfd61df21573ef2d577)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-28 02:04:688 INFO  BankManagerLoginPage :31 - Clicking to add customer [[ChromeDriver: chrome on WINDOWS (98aadb8e8344ebfd61df21573ef2d577)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-28 02:04:485 INFO  AddCustomerPage :28 - Enter first name Hermoine First name field[[ChromeDriver: chrome on WINDOWS (98aadb8e8344ebfd61df21573ef2d577)] -> xpath: //input[@placeholder='First Name']]
2020-04-28 02:04:891 INFO  AddCustomerPage :34 - Enter last name GrangerLast name field [[ChromeDriver: chrome on WINDOWS (98aadb8e8344ebfd61df21573ef2d577)] -> xpath: //input[@placeholder='Last Name']]
2020-04-28 02:04:236 INFO  AddCustomerPage :40 - Enter post code E859ACPost code field[[ChromeDriver: chrome on WINDOWS (98aadb8e8344ebfd61df21573ef2d577)] -> xpath: //input[@placeholder='Post Code']]
2020-04-28 02:04:334 INFO  AddCustomerPage :45 - Clicking on add customer button [[ChromeDriver: chrome on WINDOWS (98aadb8e8344ebfd61df21573ef2d577)] -> xpath: //button[@class='btn btn-default']]
2020-04-28 02:04:378 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 02:04:51 INFO  HomePage :24 - Clicking on bank manager login button [[ChromeDriver: chrome on WINDOWS (ed69da659e86629f45707f0d6159bcfe)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-28 02:04:710 INFO  OpenAccountPage :32 - Clicking on open account button [[ChromeDriver: chrome on WINDOWS (ed69da659e86629f45707f0d6159bcfe)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-28 02:04:774 INFO  OpenAccountPage :44 - Selecting customer name [[ChromeDriver: chrome on WINDOWS (ed69da659e86629f45707f0d6159bcfe)] -> xpath: //option[contains(text(),'Hermoine Granger')]]
2020-04-28 02:04:343 INFO  OpenAccountPage :50 - Clicking on currency button [[ChromeDriver: chrome on WINDOWS (ed69da659e86629f45707f0d6159bcfe)] -> xpath: //select[@id='userSelect']]
2020-04-28 02:04:484 INFO  OpenAccountPage :56 - Selecting currency as pound [[ChromeDriver: chrome on WINDOWS (ed69da659e86629f45707f0d6159bcfe)] -> xpath: //option[contains(text(),'Pound')]]
2020-04-28 02:04:547 INFO  OpenAccountPage :61 - Clicking on process button [[ChromeDriver: chrome on WINDOWS (ed69da659e86629f45707f0d6159bcfe)] -> xpath: //button[contains(text(),'Process')]]
2020-04-28 11:04:973 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 11:04:293 INFO  HomePage :30 - Clicking on customer login button [[ChromeDriver: chrome on WINDOWS (b7ffd026681ab8abbaab7874eb5e573c)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-28 11:04:47 INFO  CustomerPage :28 - Clicking on your name [[ChromeDriver: chrome on WINDOWS (b7ffd026681ab8abbaab7874eb5e573c)] -> id: userSelect]
2020-04-28 11:04:257 INFO  CustomerPage :34 - Clicking on select name [[ChromeDriver: chrome on WINDOWS (b7ffd026681ab8abbaab7874eb5e573c)] -> xpath: //option[contains(text(),'Hermoine Granger')]]
2020-04-28 11:04:677 INFO  CustomerPage :40 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (b7ffd026681ab8abbaab7874eb5e573c)] -> xpath: //button[@class='btn btn-default']]
2020-04-28 11:04:877 INFO  CustomerLoginPage :24 - Getting logout text [[ChromeDriver: chrome on WINDOWS (b7ffd026681ab8abbaab7874eb5e573c)] -> xpath: //button[@class='btn logout']]
2020-04-28 11:04:69 INFO  CustomerLoginPage :30 - Clicking on logout button [[ChromeDriver: chrome on WINDOWS (b7ffd026681ab8abbaab7874eb5e573c)] -> xpath: //button[@class='btn logout']]
2020-04-28 11:04:210 INFO  CustomerPage :45 - Getting your name message [[ChromeDriver: chrome on WINDOWS (b7ffd026681ab8abbaab7874eb5e573c)] -> xpath: //label[contains(text(),'Your Name :')]]
2020-04-28 11:04:501 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 11:04:440 INFO  HomePage :30 - Clicking on customer login button [[ChromeDriver: chrome on WINDOWS (5a080a0724c2c9401c01433c07e630ea)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-28 11:04:898 INFO  CustomerPage :28 - Clicking on your name [[ChromeDriver: chrome on WINDOWS (5a080a0724c2c9401c01433c07e630ea)] -> id: userSelect]
2020-04-28 11:04:82 INFO  CustomerPage :34 - Clicking on select name [[ChromeDriver: chrome on WINDOWS (5a080a0724c2c9401c01433c07e630ea)] -> xpath: //option[contains(text(),'Hermoine Granger')]]
2020-04-28 11:04:598 INFO  CustomerPage :40 - Clicking on login button Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-28 11:04:660 INFO  CustomerLoginPage :24 - Getting logout text [[ChromeDriver: chrome on WINDOWS (5a080a0724c2c9401c01433c07e630ea)] -> xpath: //button[@class='btn logout']]
2020-04-28 11:04:754 INFO  CustomerLoginPage :30 - Clicking on logout button [[ChromeDriver: chrome on WINDOWS (5a080a0724c2c9401c01433c07e630ea)] -> xpath: //button[@class='btn logout']]
2020-04-28 11:04:995 INFO  CustomerPage :45 - Getting your name message [[ChromeDriver: chrome on WINDOWS (5a080a0724c2c9401c01433c07e630ea)] -> xpath: //label[contains(text(),'Your Name :')]]
2020-04-28 11:04:862 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 11:04:402 INFO  HomePage :30 - Clicking on customer login button [[ChromeDriver: chrome on WINDOWS (78724be4b9babaac6c4fae49a6843b56)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-28 11:04:311 INFO  CustomerPage :28 - Clicking on your name [[ChromeDriver: chrome on WINDOWS (78724be4b9babaac6c4fae49a6843b56)] -> id: userSelect]
2020-04-28 11:04:278 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 11:04:853 INFO  HomePage :30 - Clicking on customer login button [[ChromeDriver: chrome on WINDOWS (25434a6bce724c434f147e06fc95eb6b)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-28 12:04:528 INFO  CustomerPage :28 - Clicking on your name [[ChromeDriver: chrome on WINDOWS (25434a6bce724c434f147e06fc95eb6b)] -> id: userSelect]
2020-04-28 12:04:744 INFO  CustomerPage :34 - Clicking on select name [[ChromeDriver: chrome on WINDOWS (25434a6bce724c434f147e06fc95eb6b)] -> xpath: //option[contains(text(),'Hermoine Granger')]]
2020-04-28 12:04:269 INFO  CustomerPage :40 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (25434a6bce724c434f147e06fc95eb6b)] -> xpath: //button[@class='btn btn-default']]
2020-04-28 12:04:579 INFO  AccountPage :36 - Clicking on deposit button [[ChromeDriver: chrome on WINDOWS (25434a6bce724c434f147e06fc95eb6b)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-28 12:04:256 INFO  AccountPage :42 - Enter amount to deposit 100Enter amount [[ChromeDriver: chrome on WINDOWS (25434a6bce724c434f147e06fc95eb6b)] -> xpath: //input[@placeholder='amount']]
2020-04-28 12:04:336 INFO  AccountPage :36 - Clicking on deposit button [[ChromeDriver: chrome on WINDOWS (25434a6bce724c434f147e06fc95eb6b)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-28 12:04:958 INFO  AccountPage :53 - Getting text deposit successful message Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='error ng-binding']'
2020-04-28 12:04:153 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 12:04:549 INFO  HomePage :30 - Clicking on customer login button [[ChromeDriver: chrome on WINDOWS (099b57adea1f9a493b1d00e852b2cc00)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-28 12:04:729 INFO  CustomerPage :28 - Clicking on your name [[ChromeDriver: chrome on WINDOWS (099b57adea1f9a493b1d00e852b2cc00)] -> id: userSelect]
2020-04-28 12:04:877 INFO  CustomerPage :34 - Clicking on select name [[ChromeDriver: chrome on WINDOWS (099b57adea1f9a493b1d00e852b2cc00)] -> xpath: //option[contains(text(),'Hermoine Granger')]]
2020-04-28 12:04:627 INFO  CustomerPage :40 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (099b57adea1f9a493b1d00e852b2cc00)] -> xpath: //button[@class='btn btn-default']]
2020-04-28 12:04:75 INFO  AccountPage :36 - Clicking on deposit button [[ChromeDriver: chrome on WINDOWS (099b57adea1f9a493b1d00e852b2cc00)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-28 12:04:357 INFO  AccountPage :42 - Enter amount to deposit 100Enter amount [[ChromeDriver: chrome on WINDOWS (099b57adea1f9a493b1d00e852b2cc00)] -> xpath: //input[@placeholder='amount']]
2020-04-28 12:04:509 INFO  AccountPage :36 - Clicking on deposit button [[ChromeDriver: chrome on WINDOWS (099b57adea1f9a493b1d00e852b2cc00)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-28 12:04:646 INFO  AccountPage :53 - Getting text deposit successful message Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='error ng-binding']'
2020-04-28 12:04:104 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 12:04:900 INFO  HomePage :30 - Clicking on customer login button [[ChromeDriver: chrome on WINDOWS (54637ea4e6aead5c6dc5408cc1034b66)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-28 12:04:494 INFO  CustomerPage :28 - Clicking on your name [[ChromeDriver: chrome on WINDOWS (54637ea4e6aead5c6dc5408cc1034b66)] -> id: userSelect]
2020-04-28 12:04:670 INFO  CustomerPage :34 - Clicking on select name [[ChromeDriver: chrome on WINDOWS (54637ea4e6aead5c6dc5408cc1034b66)] -> xpath: //option[contains(text(),'Hermoine Granger')]]
2020-04-28 12:04:227 INFO  CustomerPage :40 - Clicking on login button [[ChromeDriver: chrome on WINDOWS (54637ea4e6aead5c6dc5408cc1034b66)] -> xpath: //button[@class='btn btn-default']]
2020-04-28 12:04:487 INFO  AccountPage :36 - Clicking on deposit button [[ChromeDriver: chrome on WINDOWS (54637ea4e6aead5c6dc5408cc1034b66)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-28 12:04:917 INFO  AccountPage :42 - Enter amount to deposit 100Enter amount [[ChromeDriver: chrome on WINDOWS (54637ea4e6aead5c6dc5408cc1034b66)] -> xpath: //input[@placeholder='amount']]
2020-04-28 12:04:14 INFO  AccountPage :36 - Clicking on deposit button [[ChromeDriver: chrome on WINDOWS (54637ea4e6aead5c6dc5408cc1034b66)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-28 12:04:287 INFO  AccountPage :53 - Getting text deposit successful message Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='error ng-binding']'
2020-04-28 12:04:199 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-28 12:04:231 INFO  HomePage :30 - Clicking on customer login button [[ChromeDriver: chrome on WINDOWS (8e46a81834b5e100bfbaf9878c7b69a4)] -> xpath: //button[contains(text(),'Customer Login')]]
